obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_1996_clarifications_en,latour,network,network,1,31076,phenomenon and no causality could be provided without extending the,network,itself -see below the argument on metrology. By tying the,0
latour_1996_clarifications_en,latour,network,network,1,31161,the argument on metrology. By tying the explanation to the,network,"itself, AT does not abandon the goal of science since",0
latour_1996_clarifications_en,latour,network,network,1,31962,there is no difference between explaining and telling how a,network,surrounds itself with new ressources; if it “escapes socio-historical contingences”,0
latour_1996_clarifications_en,latour,network,network,1,32215,been garnered to stay around -the etymology of circumstances. Hughes’s,Network,of Power grow and by their very growth they become,0
latour_1996_clarifications_en,latour,network,networks,1,32421,floating over them in addition to their historical growth; Braudel’s,networks,and world economics grow and they are what the “big,0
latour_1996_clarifications_en,latour,network,networks,1,32614,"or Zeitgeist except as another summary, another ponctualisation of the",networks,themselves. Either the cause designates a body of practices which,0
latour_1996_clarifications_en,latour,network,network,1,32704,designates a body of practices which is tied to the,network,under description -and this is what growth of networks mean-,0
latour_1996_clarifications_en,latour,network,networks,1,32758,the network under description -and this is what growth of,networks,mean- or it is not related and then is just,0
latour_1996_clarifications_en,latour,network,networks,1,33099,"There is nothing better, sturdier than a circumstancial description of",networks,“It just happens to be this way”. But such a,0
latour_1996_clarifications_en,latour,network,network,1,33641,it is locally achieved only through the growth of a,network,If there is also a history of things then the,0
latour_1996_clarifications_en,latour,network,network,1,33896,of its explanatory powers since describing or accounting for a,network,is what an explanation or an ex plicitation is and,0
latour_1996_clarifications_en,latour,network,network,1,35406,"move around and work, (I should say it has to",network,No privilege also means no a priori limits on knowledge.,0
latour_1996_clarifications_en,latour,network,network,1,35624,"History, risks, and ventures is also in the observers’s own",network,building. Such is AT’s solution to reflexivity. Reflexivity is not,0
latour_1996_clarifications_en,latour,network,network,1,36864,generally applicable it means that it is riding over a,network,that expands itself. This solution becomes commonsense once it is,0
latour_1996_clarifications_en,latour,network,networks,1,39229,. . . Now that the basic topological properties of,networks,have been sketched -second section- and that the basic ontological,0
latour_1996_clarifications_en,latour,network,networks,1,39419,no difficulty in seeing that AT is not about traced,networks,by about a network tracing activity. As I said above,0
latour_1996_clarifications_en,latour,network,network,1,39439,that AT is not about traced networks by about a,network,tracing activity. As I said above there is not a,0
latour_1996_clarifications_en,latour,network,network,1,39718,"record, mark, or tag a trajectory that is called a",network,No net exists independently of the very act of tracing,0
latour_1996_clarifications_en,latour,network,network,1,39844,is done by an actor exterior to the net. A,network,is not a thing but the recorded movement of a,0
latour_1996_clarifications_en,latour,network,networks,1,40160,movement is recorded. We cannot say that what moves inside,networks,"are informations, genes, cars, bytes, salutations, words, forces, opinions, claims,",0
latour_1996_clarifications_en,latour,network,networks,1,40498,"as I said at the beginning, the technical metaphor of",networks,is a latecomer for AT and does not capture the,0
latour_1996_clarifications_en,latour,network,networks,1,43353,"realm to describe the others, thus showing the continuity of",networks,and the complete disregard for the artefactual gaps introduced by,0
latour_1996_clarifications_en,latour,network,networks,1,44143,are the filling in of what is “in between” the,networks,and which one is chosen or rejected makes no practical,0
latour_1996_clarifications_en,latour,network,network,1,44294,between” to be filled in. If chosing words for the,network,"activity has to be done, quasi-objects (Serres, ) or tokens",0
latour_1996_clarifications_en,latour,network,networks,1,47080,"Science Foundation, Ecole des Mines, Paris, (1989). Thomas P. Hughes,",Networks,"of Power. Electric Supply Systems In the US, England and",0
latour_1996_clarifications_en,latour,militar,allies,1,17234,male- who wishes to grab power makes a network of,allies,and extend his power -doing some “networking” or “liaising” as,0
latour_1996_clarifications_en,latour,militar,enemies,1,37113,anything to the world. Reflexivists as well as their pre-relativist,enemies,dream of substracting knowledge from the things in themselves. AT,0
latour_1996_clarifications_en,latour,militar,alliance,1,47912,"Routledge, London, (1985). Ilya Prigogine et Isabelle Stengers, La nouvelle",alliance,"métamorphose de la science, Gallimard/Bantam, Paris/New-York, (1979). Michel SERRES, HERMES.",0
latour_1996_clarifications_en,latour,textil,tie,1,942,The second one is to grant them sociality and to,tie,them with the social fabric. The third one is to,0
latour_1996_clarifications_en,latour,textil,fabric,1,967,grant them sociality and to tie them with the social,fabric,The third one is to consider them as a semiotic,0
latour_1996_clarifications_en,latour,textil,filaments,1,5881,of methaphors to describe essences: instead of surfaces one gets,filaments,(or rhyzomes in Deleuze’s parlance 197-). More precisely it is,0
latour_1996_clarifications_en,latour,textil,fibrous,1,6275,societies cannot be described without recognizing them as having a,fibrous,"thread-like, wiry, stringy, ropy, capillary character that is never captured",0
latour_1996_clarifications_en,latour,textil,thread,1,6284,"cannot be described without recognizing them as having a fibrous,",thread,"wiry, stringy, ropy, capillary character that is never captured by",0
latour_1996_clarifications_en,latour,textil,wiry,1,6297,"be described without recognizing them as having a fibrous, thread-like,",wiry,"stringy, ropy, capillary character that is never captured by the",0
latour_1996_clarifications_en,latour,textil,stringy,1,6303,"described without recognizing them as having a fibrous, thread-like, wiry,",stringy,"ropy, capillary character that is never captured by the notions",0
latour_1996_clarifications_en,latour,textil,ropy,1,6312,"without recognizing them as having a fibrous, thread-like, wiry, stringy,",ropy,capillary character that is never captured by the notions of,0
latour_1996_clarifications_en,latour,textil,capillary,1,6318,"recognizing them as having a fibrous, thread-like, wiry, stringy, ropy,",capillary,"character that is never captured by the notions of levels,",0
latour_1996_clarifications_en,latour,textil,fabric,1,6786,understand what holds the society together without reinjecting in its,fabric,the facts manufactured by natural and social sciences and the,0
latour_1996_clarifications_en,latour,textil,fabrics,1,7033,reinjection of the things into our understanding of the social,fabrics,is through a network-like ontology and social theory. To remain,0
latour_1996_clarifications_en,latour,textil,plaiting,1,7295,"purity and unity, but from dissemination, heterogeneity and the careful",plaiting,"of weak ties. This feeling that resistance, obduracy and sturdiness",0
latour_1996_clarifications_en,latour,textil,ties,1,7312,"but from dissemination, heterogeneity and the careful plaiting of weak",ties,"This feeling that resistance, obduracy and sturdiness is more easily",0
latour_1996_clarifications_en,latour,textil,netting,1,7404,"that resistance, obduracy and sturdiness is more easily achieved through",netting,"lacing, weaving, twisting, of ties that are weak by themselves,",0
latour_1996_clarifications_en,latour,textil,lacing,1,7413,"resistance, obduracy and sturdiness is more easily achieved through netting,",lacing,"weaving, twisting, of ties that are weak by themselves, and",0
latour_1996_clarifications_en,latour,textil,weaving,1,7421,"obduracy and sturdiness is more easily achieved through netting, lacing,",weaving,"twisting, of ties that are weak by themselves, and that",0
latour_1996_clarifications_en,latour,textil,twisting,1,7430,"and sturdiness is more easily achieved through netting, lacing, weaving,",twisting,"of ties that are weak by themselves, and that each",0
latour_1996_clarifications_en,latour,textil,ties,1,7443,"is more easily achieved through netting, lacing, weaving, twisting, of",ties,"that are weak by themselves, and that each tie, no",0
latour_1996_clarifications_en,latour,textil,tie,1,7491,"of ties that are weak by themselves, and that each",tie,"no matter how strong, is itself woven out of still",0
latour_1996_clarifications_en,latour,textil,woven,1,7528,"and that each tie, no matter how strong, is itself",woven,"out of still weaker threads, permeates for instance Foucault’s analysis",0
latour_1996_clarifications_en,latour,textil,threads,1,7554,"matter how strong, is itself woven out of still weaker",threads,permeates for instance Foucault’s analysis of micro-powers as well as,0
latour_1996_clarifications_en,latour,textil,filaments,1,8729,in between local pocket of orders or in between the,filaments,relating these contingencies. This is the most counter-intuitive aspect of,0
latour_1996_clarifications_en,latour,textil,nets,1,9232,AT makes use of some of the simplest properties of,nets,and then add to it an actor that does some,0
latour_1996_clarifications_en,latour,textil,fiber,1,10347,lie in the ground close to a cable television glass,fiber,"and nearby a sewage pipe, and each of them will",0
latour_1996_clarifications_en,latour,textil,tied,1,12332,features which have proven devastating for social theory: it is,tied,to an order relation that goes from top to bottom,0
latour_1996_clarifications_en,latour,textil,tied,1,12816,it has no a priori order relation; it is not,tied,to the axiological myth of a top and of a,0
latour_1996_clarifications_en,latour,textil,net,1,31612,"is now indistinguishable from the description, the deployment of the",net,This relativistic position -but one should prefer the less loaded,0
latour_1996_clarifications_en,latour,textil,tied,1,32692,Either the cause designates a body of practices which is,tied,to the network under description -and this is what growth,0
latour_1996_clarifications_en,latour,textil,net,1,36564,in AT. This infralanguage is enough to move from one,net,to the other and the specific explication will always be,0
latour_1996_clarifications_en,latour,textil,net,1,37410,but whether or not one travels or not from a,net,to another. No metalanguage allows you to do this travel.,0
latour_1996_clarifications_en,latour,textil,net,1,39496,tracing activity. As I said above there is not a,net,"and an actor laying down the net, but there is",0
latour_1996_clarifications_en,latour,textil,net,1,39529,is not a net and an actor laying down the,net,but there is an actor whose definition of the world,0
latour_1996_clarifications_en,latour,textil,net,1,39730,or tag a trajectory that is called a network. No,net,"exists independently of the very act of tracing it, and",0
