obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_1987_science_action_en,latour,topologia,scale,1,721329,"engineers working on turbulences (and they, in turn, work on",scale,models only in so far as their laboratories have been,0
latour_1987_science_action_en,latour,topologia,inside,1,727599,"facts or mechanisms, because they draw all of them together",inside,the centres of calculation. (2) What's the matter of (with),0
latour_1987_science_action_en,latour,topologia,inside,1,730536,"to study theories fully. As I said, they are centres",inside,the centres providing one more acceleration of the mobility and,0
latour_1987_science_action_en,latour,topologia,scale,1,730898,when observing the Bell network. If the mobilisation increases in,scale,"then, necessarily, the products at the intersection of all networks",0
latour_1987_science_action_en,latour,topologia,disconnected,1,731506,in finding a new geometrical projection for navigational maps is,disconnected,from the navigators' travels; or if Mendeleev's table is cut,0
latour_1987_science_action_en,latour,topologia,flow,1,732399,see a clover-leaf intersection fitting precisely with the freeways whose,flow,it redistributes! It is amusing to see rationalists admire a,0
latour_1987_science_action_en,latour,topologia,meshes,1,732880,"what they fasten together, or separating the knots from the",meshes,of a net. Doing a history of scientific 'theories' would,0
latour_1987_science_action_en,latour,topologia,connections,1,735871,coming from completely different regions. It is these new unexpected,connections,"that explain why forms matter so much, and why observers",0
latour_1987_science_action_en,latour,topologia,plane,1,737094,"households, amino acids, and wooden spheres rolling over an inclined",plane,"Yes, but once households, amino acids and inclined planes have",0
latour_1987_science_action_en,latour,topologia,planes,1,737152,"inclined plane. Yes, but once households, amino acids and inclined",planes,"have been, through the logistics above, brought onto a white",0
latour_1987_science_action_en,latour,topologia,connections,1,738084,"and the same functions, for instance). This means that transversal",connections,are going to be established in addition to all the,0
latour_1987_science_action_en,latour,topologia,inside,1,738677,"the calculators, whoever they are, sit at a central point",inside,the centres because everything has to pass through their hands.,0
latour_1987_science_action_en,latour,topologia,flat,1,738815,"is put on the map, you can apply on a",flat,surface of paper a graduated ruler and a compass and,0
latour_1987_science_action_en,latour,topologia,surface,1,738820,"put on the map, you can apply on a flat",surface,of paper a graduated ruler and a compass and calculate,0
latour_1987_science_action_en,latour,topologia,surface,1,739305,this list is now transformed into points on a curved,surface,figuring the earth. But how to go from the curved,0
latour_1987_science_action_en,latour,topologia,flat,1,739370,earth. But how to go from the curved to the,flat,surface without further deformation? How to maintain the information through,0
latour_1987_science_action_en,latour,topologia,surface,1,739375,But how to go from the curved to the flat,surface,without further deformation? How to maintain the information through all,0
latour_1987_science_action_en,latour,topologia,surface,1,739803,into another one: how to project a sphere on a,surface,"Since something will be lost in the projection, what should",0
latour_1987_science_action_en,latour,topologia,surface,1,739898,"the projection, what should I keep? The angles or the",surface,Mercator's choice was to keep the angles so important for,0
latour_1987_science_action_en,latour,topologia,surfaces,1,740040,routes and to give up the accurate rendering of the,surfaces,"which is interesting only for landsmen. The point is that,",0
latour_1987_science_action_en,latour,topologia,flow,1,740315,the geometry of projection might have enormous consequences since the,flow,of forms coming from all over the planet and back,0
latour_1987_science_action_en,latour,topologia,inside,1,740740,really admiring the strategic position taken by those who work,inside,the centres on forms of forms. They should be the,0
latour_1987_science_action_en,latour,topologia,inside,1,741392,"is, the better it will be able to occupy centres",inside,the centres. When Einstein is preoccupied by clocks and how,0
latour_1987_science_action_en,latour,topologia,proximity,1,742695,"altogether, and start considering 'number' per se, `set' in general,",proximity,"`association', the more central their work will become since it",0
